Sample,COSMIC_ID,Tissue identifier 1,Tissue identifier 2,Cancer Type,Alteration Type,Region identifier
201T,1287381,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Deletion,cnaLUAD1 (CDKN2A)
201T,1287381,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Amplification,cnaLUAD3 (TERT)
201T,1287381,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Amplification,cnaLUAD17 (KRAS)
201T,1287381,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,Amplification,cnaLUAD27 (MYC)
22RV1,924100,urogenital_system,prostate,PRAD,Deletion,cnaPRAD7
23132-87,910924,digestive_system,stomach,STAD,Deletion,cnaSTAD3
23132-87,910924,digestive_system,stomach,STAD,Deletion,cnaSTAD13
23132-87,910924,digestive_system,stomach,STAD,Deletion,cnaSTAD30
23132-87,910924,digestive_system,stomach,STAD,Deletion,cnaSTAD41
42-MG-BA,687561,nervous_system,glioma,GBM,Deletion,cnaGBM2 (CDKN2A)
42-MG-BA,687561,nervous_system,glioma,GBM,Amplification,"cnaGBM12 (FIP1L1,PDGFRA)"
42-MG-BA,687561,nervous_system,glioma,GBM,Amplification,"cnaGBM13 (FIP1L1,PDGFRA)"
42-MG-BA,687561,nervous_system,glioma,GBM,Deletion,"cnaGBM19 (FAT1,IRF2)"
42-MG-BA,687561,nervous_system,glioma,GBM,Deletion,cnaGBM47
42-MG-BA,687561,nervous_system,glioma,GBM,Amplification,cnaGBM125 (AKAP9)
451Lu,1287706,skin,melanoma,SKCM,Amplification,"cnaSKCM21 (FOXP1,MITF)"
451Lu,1287706,skin,melanoma,SKCM,Amplification,cnaSKCM29 (MYC)
5637,687452,urogenital_system,Bladder,BLCA,Amplification,cnaBLCA7
5637,687452,urogenital_system,Bladder,BLCA,Amplification,cnaBLCA8
5637,687452,urogenital_system,Bladder,BLCA,Amplification,cnaBLCA9
5637,687452,urogenital_system,Bladder,BLCA,Deletion,"cnaBLCA18 (CHD9,CNOT1,CYLD,MMP2,NUP93)"
647-V,906797,urogenital_system,Bladder,BLCA,Deletion,"cnaBLCA5 (FAT1,IRF2)"
769-P,910922,kidney,kidney,KIRC,Deletion,cnaKIRC7 (CDKN2A)
769-P,910922,kidney,kidney,KIRC,Deletion,cnaKIRC12
769-P,910922,kidney,kidney,KIRC,Deletion,cnaKIRC13
769-P,910922,kidney,kidney,KIRC,Deletion,cnaKIRC14
769-P,910922,kidney,kidney,KIRC,Deletion,cnaKIRC15
769-P,910922,kidney,kidney,KIRC,Deletion,cnaKIRC19
769-P,910922,kidney,kidney,KIRC,Deletion,cnaKIRC22
786-0,905947,kidney,kidney,KIRC,Deletion,cnaKIRC7 (CDKN2A)
8-MG-BA,687562,nervous_system,glioma,GBM,Deletion,cnaGBM81
8-MG-BA,687562,nervous_system,glioma,GBM,Deletion,cnaGBM82
8-MG-BA,687562,nervous_system,glioma,GBM,Deletion,cnaGBM83
A101D,910921,skin,melanoma,SKCM,Deletion,cnaSKCM3
A101D,910921,skin,melanoma,SKCM,Deletion,"cnaSKCM4 (BNC2,CDKN2A,JAK2,PSIP1)"
A172,687563,nervous_system,glioma,GBM,Deletion,cnaGBM2 (CDKN2A)
A172,687563,nervous_system,glioma,GBM,Amplification,cnaGBM123 (EGFR)
A2058,906792,skin,melanoma,SKCM,Deletion,cnaSKCM11
A3-KAW,910935,lymphoma,B_cell_lymphoma,DLBC,Deletion,cnaDLBC4 (CDKN2A)
A375,906793,skin,melanoma,SKCM,Deletion,"cnaSKCM4 (BNC2,CDKN2A,JAK2,PSIP1)"
A4-Fuk,910934,lymphoma,B_cell_lymphoma,DLBC,Deletion,cnaDLBC2
